wavelength,Neat Wt,Ferrous Wt,Neat Wt,Ferrous Wt
507.5,0.07592945,0.064700633,0.37964725,0.323503167
507,0.07600725,0.064464233,0.38003625,0.322321167
506.5,0.0760642,0.0642569,0.380321,0.3212845
506,0.07612385,0.064056567,0.38061925,0.320282833
505.5,0.07618235,0.0638582,0.38091175,0.319291
505,0.076211,0.063648567,0.381055,0.318242833
504.5,0.07625025,0.0634345,0.38125125,0.3171725
504,0.076281,0.063236467,0.381405,0.316182333
503.5,0.0762884,0.063042733,0.381442,0.315213667
503,0.0762923,0.0628546,0.3814615,0.314273
502.5,0.0762834,0.0626647,0.381417,0.3133235
502,0.07625975,0.062475467,0.38129875,0.312377333
501.5,0.07621715,0.062272067,0.38108575,0.311360333
501,0.07617755,0.0620848,0.38088775,0.310424
500.5,0.07612115,0.061919267,0.38060575,0.309596333
500,0.0759265,0.061663833,0.3796325,0.308319167
499.5,0.0758537,0.061522967,0.3792685,0.307614833
499,0.07578655,0.061380267,0.37893275,0.306901333
498.5,0.0756938,0.0612289,0.378469,0.3061445
498,0.0755956,0.061087433,0.377978,0.305437167
497.5,0.075481,0.060941167,0.377405,0.304705833
497,0.07537175,0.060810367,0.37685875,0.304051833
496.5,0.07523445,0.060688867,0.37617225,0.303444333
496,0.07510905,0.060576967,0.37554525,0.302884833
495.5,0.07497465,0.0604721,0.37487325,0.3023605
495,0.07482225,0.060363033,0.37411125,0.301815167
494.5,0.07467915,0.0602561,0.37339575,0.3012805
494,0.07452855,0.060172567,0.37264275,0.300862833
493.5,0.074385,0.060105933,0.371925,0.300529667
493,0.0742456,0.060050367,0.371228,0.300251833
492.5,0.0741007,0.0599875,0.3705035,0.2999375
492,0.0739538,0.059934067,0.369769,0.299670333
491.5,0.07379905,0.0598748,0.36899525,0.299374
491,0.07365095,0.059830767,0.36825475,0.299153833
490.5,0.07350515,0.059802533,0.36752575,0.299012667
490,0.0733569,0.059758767,0.3667845,0.298793833
489.5,0.0731958,0.059706333,0.365979,0.298531667
489,0.0730378,0.0596684,0.365189,0.298342
488.5,0.0729014,0.059640567,0.364507,0.298202833
488,0.07274025,0.059612167,0.36370125,0.298060833
487.5,0.0725939,0.059589833,0.3629695,0.297949167
487,0.07244355,0.059584533,0.36221775,0.297922667
486.5,0.07230075,0.059605167,0.36150375,0.298025833
486,0.0721562,0.059599867,0.360781,0.297999333
485.5,0.0720271,0.05962,0.3601355,0.2981
485,0.07188785,0.059640433,0.35943925,0.298202167
484.5,0.07174595,0.059662067,0.35872975,0.298310333
484,0.07164295,0.059697433,0.35821475,0.298487167
483.5,0.0715263,0.0597403,0.3576315,0.2987015
483,0.0714348,0.059788433,0.357174,0.298942167
482.5,0.07134615,0.059821333,0.35673075,0.299106667
482,0.0712522,0.059896433,0.356261,0.299482167
481.5,0.07119655,0.0599768,0.35598275,0.299884
481,0.0711365,0.060037733,0.3556825,0.300188667
480.5,0.0710751,0.060118367,0.3553755,0.300591833
480,0.0710082,0.0602142,0.355041,0.301071
479.5,0.0709524,0.060310633,0.354762,0.301553167
479,0.07090785,0.0604302,0.35453925,0.302151
478.5,0.0708653,0.060551633,0.3543265,0.302758167
478,0.07084705,0.0606576,0.35423525,0.303288
477.5,0.07081795,0.0607787,0.35408975,0.3038935
477,0.0708034,0.0609263,0.354017,0.3046315
476.5,0.07079805,0.0610739,0.35399025,0.3053695
476,0.0707994,0.0612236,0.353997,0.306118
475.5,0.07082505,0.061395033,0.35412525,0.306975167
475,0.07084775,0.061561667,0.35423875,0.307808333
474.5,0.0708741,0.061755333,0.3543705,0.308776667
474,0.07090895,0.061983167,0.35454475,0.309915833
473.5,0.0709363,0.062194833,0.3546815,0.310974167
473,0.07099035,0.062426633,0.35495175,0.312133167
472.5,0.07104715,0.0627011,0.35523575,0.3135055
472,0.07110915,0.062976567,0.35554575,0.314882833
471.5,0.0711814,0.0632812,0.355907,0.316406
471,0.071245,0.063601833,0.356225,0.318009167
470.5,0.0713061,0.063951167,0.3565305,0.319755833
470,0.0713816,0.064327967,0.356908,0.321639833
469.5,0.07147855,0.064745167,0.35739275,0.323725833
469,0.07156605,0.065179167,0.35783025,0.325895833
468.5,0.0716599,0.0656509,0.3582995,0.3282545
468,0.07175895,0.066154433,0.35879475,0.330772167
467.5,0.07184815,0.0666838,0.35924075,0.333419
467,0.0719689,0.067271733,0.3598445,0.336358667
466.5,0.07209385,0.067898967,0.36046925,0.339494833
466,0.07222105,0.068545633,0.36110525,0.342728167
465.5,0.07233535,0.0692576,0.36167675,0.346288
465,0.07244775,0.070037933,0.36223875,0.350189667
464.5,0.07258355,0.0708634,0.36291775,0.354317
464,0.0727259,0.071725833,0.3636295,0.358629167
463.5,0.0728907,0.072687533,0.3644535,0.363437667
463,0.0730247,0.073687833,0.0730247,0.073687833
462.5,0.0731782,0.074769967,0.0731782,0.074769967
462,0.0733476,0.075956733,0.0733476,0.075956733
461.5,0.07353185,0.077226633,0.07353185,0.077226633
461,0.0737541,0.078572967,0.0737541,0.078572967
460.5,0.0739599,0.079998433,0.0739599,0.079998433
460,0.07417985,0.081559067,0.07417985,0.081559067
459.5,0.0744055,0.083220567,0.0744055,0.083220567
459,0.07465625,0.0850018,0.07465625,0.0850018
458.5,0.0749191,0.086901767,0.0749191,0.086901767
458,0.07519805,0.088944733,0.07519805,0.088944733
457.5,0.0755009,0.0911298,0.0755009,0.0911298
457,0.0757959,0.093509767,0.0757959,0.093509767
456.5,0.07613005,0.096075933,0.07613005,0.096075933
456,0.07649015,0.098823967,0.07649015,0.098823967
455.5,0.07686645,0.101769333,0.07686645,0.101769333
455,0.07727525,0.104925,0.07727525,0.104925
454.5,0.077723,0.108343333,0.077723,0.108343333
454,0.0781815,0.111996333,0.0781815,0.111996333
453.5,0.07868315,0.115919,0.07868315,0.115919
453,0.0792281,0.120115667,0.0792281,0.120115667
452.5,0.079792,0.124652,0.079792,0.124652
452,0.0803927,0.129555,0.0803927,0.129555
451.5,0.08105055,0.134825,0.08105055,0.134825
451,0.0817248,0.140552,0.0817248,0.140552
450.5,0.08247005,0.146704,0.08247005,0.146704
450,0.0832661,0.153344667,0.0832661,0.153344667
449.5,0.08409905,0.160520667,0.08409905,0.160520667
449,0.0849898,0.168290333,0.0849898,0.168290333
448.5,0.08597675,0.176664,0.08597675,0.176664
448,0.0870449,0.185666,0.0870449,0.185666
447.5,0.08816765,0.195333333,0.08816765,0.195333333
447,0.08938155,0.205643,0.08938155,0.205643
446.5,0.0906502,0.216637,0.0906502,0.216637
446,0.0920041,0.228317,0.0920041,0.228317
445.5,0.0934533,0.240635333,0.0934533,0.240635333
445,0.09497505,0.253498333,0.09497505,0.253498333
444.5,0.0965508,0.266834333,0.0965508,0.266834333
444,0.09818605,0.280608333,0.09818605,0.280608333
443.5,0.09990635,0.294735333,0.09990635,0.294735333
443,0.101695,0.309125667,0.101695,0.309125667
442.5,0.103543,0.323694,0.103543,0.323694
